pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
ex0,neutral,The senators near the director called the athletes .,The athletes called the senators .,The senators called the athletes .,,,,,,,,,,,,,,
ex1,neutral,The photojournalists by the stylist called the essayist .,The stylist called the photojournalists .,The photojournalists called the essayist .,,,,,,,,,,,,,,
ex2,neutral,The administrators near the singer helped the illustrators .,The illustrators helped the administrators .,The administrators helped the illustrators .,,,,,,,,,,,,,,
ex3,neutral,The athletes believed the scientist in front of the bankers .,The scientist believed the bankers .,The athletes is not the scientist and the scientist is not the bankers .,,,,,,,,,,,,,,
ex4,neutral,The planners advised the writers next to the artists .,The writers advised the artists .,The planners is not the writers and the writers is not the artists .,,,,,,,,,,,,,,
ex5,neutral,The sculptor introduced the dancer behind the artist .,The artist introduced the sculptor .,The sculptor is not the artist and the dancer is not the sculptor .,,,,,,,,,,,,,,
ex6,neutral,The judges near the managers helped the photographer .,The photographer helped the managers .,The judges helped the photographer .,,,,,,,,,,,,,,
ex7,neutral,The tourists in front of the author helped the curators .,The author helped the tourists .,The tourists helped the curators .,,,,,,,,,,,,,,
ex8,neutral,The photographers stopped the stylists in front of the pencillers .,The stylists stopped the pencillers .,The photographers is not the stylists and the stylists is not the pencillers .,,,,,,,,,,,,,,
ex9,neutral,The photojournalist thanked the lyricists next to the judges .,The lyricists thanked the photojournalist .,The photojournalist thanked the lyricists .,,,,,,,,,,,,,,
ex10,neutral,The bankers thanked the students next to the dancers .,The dancers thanked the bankers .,The bankers is not the dancers and the students is not the bankers .,,,,,,,,,,,,,,
ex11,neutral,The strategists saw the designers near the administrator .,The designers saw the strategists .,The strategists saw the designers .,,,,,,,,,,,,,,
ex12,neutral,The actors next to the senator thanked the authors .,The senator thanked the actors .,The actors thanked the authors .,,,,,,,,,,,,,,
ex13,neutral,The students contacted the scientist in front of the tourists .,The scientist contacted the tourists .,The students is not the scientist and the scientist is not the tourists .,,,,,,,,,,,,,,
ex14,neutral,The lyricist recommended the singers behind the doctors .,The singers recommended the lyricist .,The lyricist recommended the singers .,,,,,,,,,,,,,,
ex15,neutral,The strategist recognized the lyricist in front of the designers .,The lyricist recognized the strategist .,The strategist recognized the lyricist .,,,,,,,,,,,,,,
ex16,neutral,The sculptor admired the animators in front of the colorists .,The animators admired the sculptor .,The sculptor admired the animators .,,,,,,,,,,,,,,
ex17,neutral,The animators next to the manager stopped the athletes .,The athletes stopped the manager .,The animators stopped the athletes .,,,,,,,,,,,,,,
ex18,neutral,The colorists near the doctor supported the athlete .,The athlete supported the colorists .,The colorists supported the athlete .,,,,,,,,,,,,,,
ex19,neutral,The stylists helped the illustrators in front of the artist .,The artist helped the stylists .,The stylists is not the artist and the illustrators is not the stylists .,,,,,,,,,,,,,,
ex20,neutral,The curators recommended the illustrators next to the doctors .,The doctors recommended the curators .,The curators is not the doctors and the illustrators is not the curators .,,,,,,,,,,,,,,
ex21,neutral,The architect behind the writer admired the authors .,The authors admired the architect .,The architect admired the authors .,,,,,,,,,,,,,,
ex22,neutral,The athlete next to the banker saw the administrator .,The administrator saw the banker .,The athlete saw the administrator .,,,,,,,,,,,,,,
ex23,neutral,The singers in front of the professors stopped the bankers .,The bankers stopped the professors .,The singers stopped the bankers .,,,,,,,,,,,,,,
ex24,neutral,The dancer mentioned the designers near the essayists .,The essayists mentioned the dancer .,The dancer is not the essayists and the designers is not the dancer .,,,,,,,,,,,,,,
ex25,neutral,The potters recognized the tourist in front of the bankers .,The tourist recognized the bankers .,The potters is not the tourist and the tourist is not the bankers .,,,,,,,,,,,,,,
ex26,neutral,The professor next to the tourists avoided the writer .,The writer avoided the professor .,The professor avoided the writer .,,,,,,,,,,,,,,
ex27,neutral,The photojournalists introduced the photographer next to the president .,The photographer introduced the photojournalists .,The photojournalists introduced the photographer .,,,,,,,,,,,,,,
ex28,neutral,The artist stopped the singers near the potter .,The singers stopped the potter .,The artist is not the singers and the singers is not the potter .,,,,,,,,,,,,,,
ex29,neutral,The secretaries avoided the curators in front of the students .,The students avoided the secretaries .,The secretaries is not the students and the curators is not the secretaries .,,,,,,,,,,,,,,
ex30,neutral,The scientist recognized the actor by the animators .,The actor recognized the animators .,The scientist is not the actor and the actor is not the animators .,,,,,,,,,,,,,,
ex31,neutral,The student saw the pencillers next to the architects .,The pencillers saw the student .,The student saw the pencillers .,,,,,,,,,,,,,,
ex32,neutral,The scientist thanked the senators in front of the artist .,The artist thanked the scientist .,The scientist is not the artist and the senators is not the scientist .,,,,,,,,,,,,,,
ex33,neutral,The essayist behind the designer saw the artists .,The artists saw the essayist .,The essayist saw the artists .,,,,,,,,,,,,,,
ex34,neutral,The secretaries in front of the authors recognized the actor .,The actor recognized the authors .,The secretaries recognized the actor .,,,,,,,,,,,,,,
ex35,neutral,The animator in front of the athlete recognized the animators .,The animators recognized the animator .,The animator recognized the animators .,,,,,,,,,,,,,,
ex36,neutral,The administrator helped the authors near the architects .,The authors helped the architects .,The administrator is not the authors and the authors is not the architects .,,,,,,,,,,,,,,
ex37,neutral,The author avoided the actor in front of the penciller .,The actor avoided the author .,The author avoided the actor .,,,,,,,,,,,,,,
ex38,neutral,The lyricist behind the secretaries avoided the director .,The director avoided the lyricist .,The lyricist avoided the director .,,,,,,,,,,,,,,
ex39,neutral,The professors near the baker avoided the colorists .,The baker avoided the professors .,The professors avoided the colorists .,,,,,,,,,,,,,,
ex40,neutral,The baker introduced the administrators near the manager .,The administrators introduced the manager .,The baker is not the administrators and the administrators is not the manager .,,,,,,,,,,,,,,
ex41,neutral,The strategist by the artisans believed the potter .,The artisans believed the strategist .,The strategist believed the potter .,,,,,,,,,,,,,,
ex42,neutral,The bakers mentioned the administrators behind the president .,The president mentioned the bakers .,The bakers is not the president and the administrators is not the bakers .,,,,,,,,,,,,,,
ex43,neutral,The lyricists called the photojournalists next to the artisans .,The photojournalists called the artisans .,The lyricists is not the photojournalists and the photojournalists is not the artisans .,,,,,,,,,,,,,,
ex44,neutral,The artist in front of the therapists believed the musician .,The musician believed the artist .,The artist believed the musician .,,,,,,,,,,,,,,
ex45,neutral,The scientist called the lyricists near the photojournalists .,The photojournalists called the scientist .,The scientist is not the photojournalists and the lyricists is not the scientist .,,,,,,,,,,,,,,
ex46,neutral,The actors near the scientist recognized the doctors .,The scientist recognized the actors .,The actors recognized the doctors .,,,,,,,,,,,,,,
ex47,neutral,The stylists admired the doctors next to the curator .,The doctors admired the curator .,The stylists is not the doctors and the doctors is not the curator .,,,,,,,,,,,,,,
ex48,neutral,The artist by the authors believed the bakers .,The bakers believed the artist .,The artist believed the bakers .,,,,,,,,,,,,,,
ex49,neutral,The officer admired the scientists near the designer .,The scientists admired the officer .,The officer admired the scientists .,,,,,,,,,,,,,,
ex50,neutral,The authors helped the therapists next to the designers .,The designers helped the authors .,The authors is not the designers and the therapists is not the authors .,,,,,,,,,,,,,,
ex51,neutral,The senators behind the judges mentioned the illustrators .,The illustrators mentioned the judges .,The senators mentioned the illustrators .,,,,,,,,,,,,,,
ex52,neutral,The colorists near the essayists stopped the secretary .,The secretary stopped the colorists .,The colorists stopped the secretary .,,,,,,,,,,,,,,
ex53,neutral,The artist called the officer near the illustrator .,The officer called the illustrator .,The artist is not the officer and the officer is not the illustrator .,,,,,,,,,,,,,,
ex54,neutral,The singer next to the professors advised the illustrator .,The professors advised the singer .,The singer advised the illustrator .,,,,,,,,,,,,,,
ex55,neutral,The scientists contacted the lyricists in front of the artisan .,The lyricists contacted the artisan .,The scientists is not the lyricists and the lyricists is not the artisan .,,,,,,,,,,,,,,
ex56,neutral,The student helped the lyricist in front of the singers .,The singers helped the student .,The student is not the singers and the lyricist is not the student .,,,,,,,,,,,,,,
ex57,neutral,The illustrator called the lyricist in front of the artisans .,The lyricist called the artisans .,The illustrator is not the lyricist and the lyricist is not the artisans .,,,,,,,,,,,,,,
ex58,neutral,The therapists next to the writer avoided the therapist .,The writer avoided the therapists .,The therapists avoided the therapist .,,,,,,,,,,,,,,
ex59,neutral,The manager believed the penciller by the musicians .,The penciller believed the manager .,The manager believed the penciller .,,,,,,,,,,,,,,
ex60,neutral,The directors supported the officers in front of the authors .,The officers supported the authors .,The directors is not the officers and the officers is not the authors .,,,,,,,,,,,,,,
ex61,neutral,The photographers by the animator believed the tourists .,The tourists believed the photographers .,The photographers believed the tourists .,,,,,,,,,,,,,,
ex62,neutral,The manager behind the potters stopped the secretary .,The secretary stopped the potters .,The manager stopped the secretary .,,,,,,,,,,,,,,
ex63,neutral,The author admired the officers in front of the director .,The director admired the author .,The author is not the director and the officers is not the author .,,,,,,,,,,,,,,
ex64,neutral,The officer in front of the bankers advised the designer .,The designer advised the bankers .,The officer advised the designer .,,,,,,,,,,,,,,
ex65,neutral,The senator in front of the officers avoided the potters .,The potters avoided the officers .,The senator avoided the potters .,,,,,,,,,,,,,,
ex66,neutral,The director in front of the colorists recommended the writer .,The writer recommended the colorists .,The director recommended the writer .,,,,,,,,,,,,,,
ex67,neutral,The officers avoided the architects by the actor .,The architects avoided the officers .,The officers avoided the architects .,,,,,,,,,,,,,,
ex68,neutral,The students thanked the potter near the singer .,The singer thanked the students .,The students is not the singer and the potter is not the students .,,,,,,,,,,,,,,
ex69,neutral,The artists stopped the potter next to the writers .,The potter stopped the artists .,The artists stopped the potter .,,,,,,,,,,,,,,
ex70,neutral,The professor in front of the scientists helped the colorists .,The colorists helped the professor .,The professor helped the colorists .,,,,,,,,,,,,,,
ex71,neutral,The scientist near the artists introduced the strategists .,The artists introduced the scientist .,The scientist introduced the strategists .,,,,,,,,,,,,,,
ex72,neutral,The dancers believed the stylist next to the presidents .,The presidents believed the dancers .,The dancers is not the presidents and the stylist is not the dancers .,,,,,,,,,,,,,,
ex73,neutral,The tourists near the musicians called the secretary .,The musicians called the tourists .,The tourists called the secretary .,,,,,,,,,,,,,,
ex74,neutral,The architects behind the scientist avoided the photojournalist .,The photojournalist avoided the architects .,The architects avoided the photojournalist .,,,,,,,,,,,,,,
ex75,neutral,The colorists advised the penciller behind the pencillers .,The penciller advised the pencillers .,The colorists is not the penciller and the penciller is not the pencillers .,,,,,,,,,,,,,,
ex76,neutral,The actor advised the scientists behind the essayists .,The scientists advised the actor .,The actor advised the scientists .,,,,,,,,,,,,,,
ex77,neutral,The lawyers near the musicians saw the singers .,The singers saw the musicians .,The lawyers saw the singers .,,,,,,,,,,,,,,
ex78,neutral,The illustrator behind the planners thanked the professor .,The professor thanked the illustrator .,The illustrator thanked the professor .,,,,,,,,,,,,,,
ex79,neutral,The curators saw the bakers by the administrator .,The administrator saw the curators .,The curators is not the administrator and the bakers is not the curators .,,,,,,,,,,,,,,
ex80,neutral,The writers next to the colorists believed the doctor .,The colorists believed the writers .,The writers believed the doctor .,,,,,,,,,,,,,,
ex81,neutral,The doctors admired the senator next to the officer .,The senator admired the doctors .,The doctors admired the senator .,,,,,,,,,,,,,,
ex82,neutral,The secretary near the scientists recognized the photographers .,The scientists recognized the secretary .,The secretary recognized the photographers .,,,,,,,,,,,,,,
ex83,neutral,The photojournalist thanked the lyricists by the designer .,The designer thanked the photojournalist .,The photojournalist is not the designer and the lyricists is not the photojournalist .,,,,,,,,,,,,,,
ex84,neutral,The essayist supported the stylist in front of the professors .,The stylist supported the essayist .,The essayist supported the stylist .,,,,,,,,,,,,,,
ex85,neutral,The photographer recognized the artists in front of the essayist .,The artists recognized the essayist .,The photographer is not the artists and the artists is not the essayist .,,,,,,,,,,,,,,
ex86,neutral,The tourist called the essayist behind the sculptor .,The sculptor called the tourist .,The tourist is not the sculptor and the essayist is not the tourist .,,,,,,,,,,,,,,
ex87,neutral,The curators near the athletes saw the actor .,The actor saw the curators .,The curators saw the actor .,,,,,,,,,,,,,,
ex88,neutral,The strategist near the bakers avoided the writers .,The writers avoided the bakers .,The strategist avoided the writers .,,,,,,,,,,,,,,
ex89,neutral,The directors contacted the baker near the artists .,The artists contacted the directors .,The directors is not the artists and the baker is not the directors .,,,,,,,,,,,,,,
