Pred_Expl,Expl_1,Expl_2,Expl_3
the two women are not likely eating and drinking at the same time.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women don't have to be sisters. embracing does not mean hugging goodbye. the women don't have to have just finished lunch to be embracing.
the two women are not likely eating and drinking at the same time.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women don't have to be sisters. embracing does not mean hugging goodbye. the women don't have to have just finished lunch to be embracing.
the two women are not likely eating and drinking at the same time.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women don't have to be sisters. embracing does not mean hugging goodbye. the women don't have to have just finished lunch to be embracing.
the two women are not likely eating and drinking at the same time.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women don't have to be sisters. embracing does not mean hugging goodbye. the women don't have to have just finished lunch to be embracing.
one cannot be standing and running simultaneously.,two kids in jerseys watching their hands are not necessarily at a ballgame.,even it two children are wearing jerseys they are not necessarily at a ballgame.,just because two children are in jerseys washing their hands in a sink it does not mean they are at a ballgame.
one cannot be standing and running simultaneously.,two kids in jerseys watching their hands are not necessarily at a ballgame.,even it two children are wearing jerseys they are not necessarily at a ballgame.,just because two children are in jerseys washing their hands in a sink it does not mean they are at a ballgame.
one cannot be standing and running simultaneously.,two kids in jerseys watching their hands are not necessarily at a ballgame.,even it two children are wearing jerseys they are not necessarily at a ballgame.,just because two children are in jerseys washing their hands in a sink it does not mean they are at a ballgame.
one cannot be standing and running simultaneously.,two kids in jerseys watching their hands are not necessarily at a ballgame.,even it two children are wearing jerseys they are not necessarily at a ballgame.,just because two children are in jerseys washing their hands in a sink it does not mean they are at a ballgame.
a man who runs beside a concrete wall can't be selling food at a birthday party at the same time.,a man selling donuts is selling donuts.,a man selling donuts is just a rephrasing of a man selling donuts at an event.,""" a man selling donuts to a customer "" is the same as "" a man selling donuts to a customer. """
a man who runs beside a concrete wall can't be selling food at a birthday party at the same time.,a man selling donuts is selling donuts.,a man selling donuts is just a rephrasing of a man selling donuts at an event.,""" a man selling donuts to a customer "" is the same as "" a man selling donuts to a customer. """
