Pred_Expl,Expl_1,Expl_2,Expl_3
the couple may not be eating and hugging them at the same time.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women don't have to be sisters. embracing does not mean hugging goodbye. the women don't have to have just finished lunch to be embracing.
the couple may not be eating and hugging them at the same time.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women don't have to be sisters. embracing does not mean hugging goodbye. the women don't have to have just finished lunch to be embracing.
the couple may not be eating and hugging them at the same time.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women don't have to be sisters. embracing does not mean hugging goodbye. the women don't have to have just finished lunch to be embracing.
"just because the men are standing in a white coat, it does not mean they are doing their work.",young children are kids. jerseys with number 9 and 2 are numbered jerseys.,two young children in jersey washing their hands in sink,kids is a synonym for children.
"just because the men are standing in a white coat, it does not mean they are doing their work.",young children are kids. jerseys with number 9 and 2 are numbered jerseys.,two young children in jersey washing their hands in sink,kids is a synonym for children.
"just because the men are standing in a white coat, it does not mean they are doing their work.",young children are kids. jerseys with number 9 and 2 are numbered jerseys.,two young children in jersey washing their hands in sink,kids is a synonym for children.
a woman in a restaurant is not the same as a woman in a restaurant.,"there can be either a man or a woman, who can be either selling donuts or drinking coffee.",a woman can't be at a world exhibition event and a small cafe at the same time.,a woman is different from a man.
a woman in a restaurant is not the same as a woman in a restaurant.,"there can be either a man or a woman, who can be either selling donuts or drinking coffee.",a woman can't be at a world exhibition event and a small cafe at the same time.,a woman is different from a man.
a woman in a restaurant is not the same as a woman in a restaurant.,"there can be either a man or a woman, who can be either selling donuts or drinking coffee.",a woman can't be at a world exhibition event and a small cafe at the same time.,a woman is different from a man.
there is either a football game or football game.,if the boys of opposing teams play football then the boys play football.,two boys of opposing teams play football,""" two young boys of opposing teams play football "" is a more descriptive way of saying "" boys play football ""."
there is either a football game or football game.,if the boys of opposing teams play football then the boys play football.,two boys of opposing teams play football,""" two young boys of opposing teams play football "" is a more descriptive way of saying "" boys play football ""."
there is either a football game or football game.,if the boys of opposing teams play football then the boys play football.,two boys of opposing teams play football,""" two young boys of opposing teams play football "" is a more descriptive way of saying "" boys play football ""."
the man could be in a white t - shirt and not just because he is in the garage.,"just because a man is standing in front of a structure that is painted with geometric designs, doesn't mean he is repainting it. a garage - like structure isn't necessarily a garage.",the fact that a man is standing in front of a painted garage does not imply that he is in currently in the process of repainting a garage.,just because a man is in front of a garage - like structure it does not mean he is repainting a garage.
the man could be in a white t - shirt and not just because he is in the garage.,"just because a man is standing in front of a structure that is painted with geometric designs, doesn't mean he is repainting it. a garage - like structure isn't necessarily a garage.",the fact that a man is standing in front of a painted garage does not imply that he is in currently in the process of repainting a garage.,just because a man is in front of a garage - like structure it does not mean he is repainting a garage.
the man could be in a white t - shirt and not just because he is in the garage.,"just because a man is standing in front of a structure that is painted with geometric designs, doesn't mean he is repainting it. a garage - like structure isn't necessarily a garage.",the fact that a man is standing in front of a painted garage does not imply that he is in currently in the process of repainting a garage.,just because a man is in front of a garage - like structure it does not mean he is repainting a garage.
there is no indication of a plane.,there are both child reaching up to touch a propeller.,' a child is reaching to touch the propeller of a plane'is a rephrasing of'a child reaches up to touch the propeller of a plane '.,the action reaches up is the same as is reaching.
there is no indication of a plane.,there are both child reaching up to touch a propeller.,' a child is reaching to touch the propeller of a plane'is a rephrasing of'a child reaches up to touch the propeller of a plane '.,the action reaches up is the same as is reaching.
there is no indication of a plane.,there are both child reaching up to touch a propeller.,' a child is reaching to touch the propeller of a plane'is a rephrasing of'a child reaches up to touch the propeller of a plane '.,the action reaches up is the same as is reaching.
a woman in a boat is also in a boat,both woman are doing a cartwheel.,""" a woman is doing a cartwheel "" is the same as "" a woman is doing a cartwheel. """,""" doing a cartwheel "" is a shorter version of "" doing a cartwheel while wearing a bikini ""."
a woman in a boat is also in a boat,both woman are doing a cartwheel.,""" a woman is doing a cartwheel "" is the same as "" a woman is doing a cartwheel. """,""" doing a cartwheel "" is a shorter version of "" doing a cartwheel while wearing a bikini ""."
a woman in a boat is also in a boat,both woman are doing a cartwheel.,""" a woman is doing a cartwheel "" is the same as "" a woman is doing a cartwheel. """,""" doing a cartwheel "" is a shorter version of "" doing a cartwheel while wearing a bikini ""."
cyclists riding bicycles are people.,two men can also be referred as people and on bicycles competing a race is synonymous of riding bikes.,"if the men are competing in a bicycle race, it stands to reason the men are riding bikes.",men are people.
cyclists riding bicycles are people.,two men can also be referred as people and on bicycles competing a race is synonymous of riding bikes.,"if the men are competing in a bicycle race, it stands to reason the men are riding bikes.",men are people.
cyclists riding bicycles are people.,two men can also be referred as people and on bicycles competing a race is synonymous of riding bikes.,"if the men are competing in a bicycle race, it stands to reason the men are riding bikes.",men are people.
a boy who runs by a baseball game does not imply that he is playing with a baseball.,the boy is not necessarily leaving a baseball game.,the fact that a boy is carrying a ball does not necessarily imply that he is leaving a baseball game.,"just because the boy has a ball does not mean he has been at a baseball game, and if he has, he may still be playing, not leaving the game."
a boy who runs by a baseball game does not imply that he is playing with a baseball.,the boy is not necessarily leaving a baseball game.,the fact that a boy is carrying a ball does not necessarily imply that he is leaving a baseball game.,"just because the boy has a ball does not mean he has been at a baseball game, and if he has, he may still be playing, not leaving the game."
