pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
ex0,contradiction,The potter admired the stylist .,The stylist admired the potter .,The potter admired the stylist does not imply the stylist admired the potter .,,,,,,,,,,,,,,
ex1,contradiction,The writer contacted the students .,The students contacted the writer .,The writer contacted the students does not imply the students contacted the writer .,,,,,,,,,,,,,,
ex2,contradiction,The athletes called the director .,The director called the athletes .,The athletes called the director does not imply the director called the athletes .,,,,,,,,,,,,,,
ex3,contradiction,The baker called the writers .,The writers called the baker .,The baker called the writers does not imply the writers called the baker .,,,,,,,,,,,,,,
ex4,contradiction,The singer contacted the senator .,The senator contacted the singer .,The singer contacted the senator does not imply the senator contacted the singer .,,,,,,,,,,,,,,
ex5,contradiction,The curator advised the baker .,The baker advised the curator .,The curator advised the baker does not imply the baker advised the curator .,,,,,,,,,,,,,,
ex6,contradiction,The tourist avoided the photographers .,The photographers avoided the tourist .,The tourist avoided the photographers does not imply the photographers avoided the tourist .,,,,,,,,,,,,,,
ex7,contradiction,The curators stopped the designer .,The designer stopped the curators .,The curators stopped the designer does not imply the designer stopped the curators .,,,,,,,,,,,,,,
ex8,contradiction,The essayists believed the judge .,The judge believed the essayists .,The essayists believed the judge does not imply the judge believed the essayists .,,,,,,,,,,,,,,
ex9,contradiction,The designers supported the secretary .,The secretary supported the designers .,The designers supported the secretary does not imply the secretary supported the designers .,,,,,,,,,,,,,,
ex10,neutral,The curators helped the animator in front of the judges .,The animator helped the judges .,The curators is not the animator and the animator is not the judges .,,,,,,,,,,,,,,
ex11,neutral,The artists next to the dancers helped the scientists .,The dancers helped the artists .,The artists helped the scientists .,,,,,,,,,,,,,,
ex12,neutral,The tourist near the managers recommended the designers .,The designers recommended the managers .,The tourist recommended the designers .,,,,,,,,,,,,,,
ex13,neutral,The essayists in front of the secretaries called the professor .,The professor called the secretaries .,The essayists called the professor .,,,,,,,,,,,,,,
ex14,neutral,The administrators helped the author by the scientist .,The scientist helped the administrators .,The administrators is not the scientist and the author is not the administrators .,,,,,,,,,,,,,,
ex15,neutral,The photojournalists in front of the therapist recognized the strategists .,The therapist recognized the photojournalists .,The photojournalists recognized the strategists .,,,,,,,,,,,,,,
ex16,neutral,The essayists recommended the planners near the dancer .,The planners recommended the dancer .,The essayists is not the planners and the planners is not the dancer .,,,,,,,,,,,,,,
ex17,neutral,The colorist believed the artisans in front of the stylist .,The artisans believed the colorist .,The colorist believed the artisans .,,,,,,,,,,,,,,
ex18,neutral,The students contacted the stylists in front of the actors .,The stylists contacted the students .,The students contacted the stylists .,,,,,,,,,,,,,,
ex19,neutral,The student called the sculptor behind the illustrator .,The sculptor called the student .,The student called the sculptor .,,,,,,,,,,,,,,
ex20,neutral,The administrator who the essayists supported advised the artists .,The artists advised the essayists .,The essayists supported the administrator .,,,,,,,,,,,,,,
ex21,neutral,The artisans who supported the managers advised the architect .,The managers advised the artisans .,The artisans advised the managers .,,,,,,,,,,,,,,
ex22,neutral,The photojournalist who avoided the tourist contacted the essayist .,The essayist contacted the photojournalist .,The photojournalist contacted the essayist .,,,,,,,,,,,,,,
ex23,neutral,The potters who stopped the strategist encouraged the senators .,The senators encouraged the strategist .,The potters encouraged the senators .,,,,,,,,,,,,,,
ex24,neutral,The presidents who the photojournalist thanked introduced the strategist .,The photojournalist introduced the presidents .,The presidents introduced the strategist .,,,,,,,,,,,,,,
ex25,neutral,The student saw the secretaries who avoided the administrator .,The administrator saw the student .,The student saw the secretaries .,,,,,,,,,,,,,,
ex26,neutral,The curators called the pencillers who introduced the administrators .,The administrators called the curators .,The curators called the pencillers .,,,,,,,,,,,,,,
ex27,neutral,The pencillers who mentioned the dancer believed the singers .,The singers believed the pencillers .,The pencillers believed the singers .,,,,,,,,,,,,,,
ex28,neutral,The designer who the therapist advised called the lawyer .,The lawyer called the therapist .,The therapist advised the designer .,,,,,,,,,,,,,,
ex29,neutral,The therapists that the professors admired called the presidents .,The presidents called the professors .,The professors admired the therapists .,,,,,,,,,,,,,,
ex30,contradiction,The artists were advised by the writers .,The artists advised the writers .,The writers advised the artists .,,,,,,,,,,,,,,
ex31,contradiction,The writers were avoided by the colorist .,The writers avoided the colorist .,The colorist avoided the writers .,,,,,,,,,,,,,,
ex32,contradiction,The therapist was avoided by the lawyers .,The therapist avoided the lawyers .,The lawyers avoided the therapist .,,,,,,,,,,,,,,
ex33,contradiction,The judge was encouraged by the stylist .,The judge encouraged the stylist .,The stylist encouraged the judge .,,,,,,,,,,,,,,
ex34,contradiction,The artists were thanked by the stylists .,The artists thanked the stylists .,The stylists thanked the artists .,,,,,,,,,,,,,,
ex35,contradiction,The designer was called by the officers .,The designer called the officers .,The officers called the designer .,,,,,,,,,,,,,,
ex36,contradiction,The architect was helped by the therapists .,The architect helped the therapists .,The therapists helped the architect .,,,,,,,,,,,,,,
ex37,contradiction,The baker was thanked by the judge .,The baker thanked the judge .,The judge thanked the baker .,,,,,,,,,,,,,,
ex38,contradiction,The scientist was admired by the author .,The scientist admired the author .,The author admired the scientist .,,,,,,,,,,,,,,
ex39,contradiction,The artists were encouraged by the professor .,The artists encouraged the professor .,The professor encouraged the artists .,,,,,,,,,,,,,,
ex40,contradiction,The writer encouraged the sculptor and the curators .,The sculptor encouraged the curators .,The writer encouraged the curators .,,,,,,,,,,,,,,
ex41,contradiction,The doctors and the potters called the penciller .,The doctors called the potters .,The doctors called the penciller .,,,,,,,,,,,,,,
ex42,contradiction,The lawyers contacted the musicians and the administrator .,The administrator contacted the musicians .,The lawyers contacted the musicians .,,,,,,,,,,,,,,
ex43,contradiction,The bankers saw the planners and the officer .,The planners saw the officer .,The bankers saw the officer .,,,,,,,,,,,,,,
ex44,contradiction,The actor and the therapists helped the photojournalist .,The therapists helped the actor .,The therapists helped the photojournalist .,,,,,,,,,,,,,,
ex45,contradiction,The bankers and the pencillers mentioned the lyricists .,The bankers mentioned the pencillers .,The bankers mentioned the lyricists .,,,,,,,,,,,,,,
ex46,contradiction,The essayist advised the presidents and the scientist .,The scientist advised the presidents .,The essayist advised the presidents .,,,,,,,,,,,,,,
ex47,contradiction,The pencillers supported the colorist and the artists .,The artists supported the colorist .,The pencillers supported the colorist .,,,,,,,,,,,,,,
ex48,contradiction,The senators and the therapist admired the dancer .,The senators admired the therapist .,The senators admired the dancer .,,,,,,,,,,,,,,
ex49,contradiction,The baker and the secretaries stopped the tourist .,The baker stopped the secretaries .,The baker stopped the tourist .,,,,,,,,,,,,,,
